,estado,populacao,total_casos,novos_por_dia,a_cada_milhao,total_mortes,2ª dose,2ª dose %,reforco,reforco %,1ª dose,1ª dose %,total vascinas
0,Acre,776463,160113,2,202649,2041,597935,65.05,284813,30.99,696619,75.79,1280931
1,Alagoas,3300938,336822,11,101400,7230,2355718,69.73,1272731,37.67,2642076,78.21,4941707
2,Amapá,734995,183667,0,244563,2167,514824,57.63,269240,30.14,614022,68.74,1111564
3,Amazonas,3807923,625274,3,161413,14421,2922899,67.48,1691944,39.06,3361647,77.61,6209127
4,Bahia,15044127,1783601,16,117908,31353,11226993,74.66,7710188,51.28,11717323,77.93,22679938
5,Ceará,8778575,1446481,0,163577,28091,8076454,86.91,5391468,58.02,8294079,89.25,16087812
6,Distrito Federal,2789761,893250,0,0,11838,2480046,79.23,1527089,48.79,2566016,81.98,4984915
7,Espírito Santo,3839363,1318026,12,339256,15002,3227524,77.74,1957707,47.15,3469351,83.56,6585652
8,Goiás,6434052,1864285,165,285792,27890,5342715,73.19,3001131,41.11,5920789,81.11,11263504
9,Maranhão,6794298,491004,0,71670,11043,4903627,68.19,2190968,30.47,5797633,80.62,10570892
10,Mato Grosso,3182114,872602,0,270628,15067,2543348,70.5,1237270,34.3,2847379,78.93,5287160
11,Mato Grosso do Sul,2587267,601158,0,229480,10969,2236412,77.97,1194753,41.65,2265615,78.99,4244041
12,Minas Gerais,20593366,4122029,0,197518,64799,17330069,80.51,11782249,54.73,18312594,85.07,35642663
13,Paraná,10997462,2904979,179,262142,45929,9778886,83.75,6831798,58.51,10224412,87.57,19663680
14,Paraíba,3914418,703834,22,178462,10540,3397474,64.44,2114142,51.82,3495148,76.71,6805790
15,Pará,7969655,864573,21,107082,18999,6636878,74.89,2492989,28.13,6869551,77.52,13506429
16,Pernambuco,9208551,1138859,0,122752,22620,7991191,82.11,4519829,46.44,8528534,87.64,16377597
17,Piauí,3184165,418951,0,131139,8052,2921881,88.65,1970073,59.78,3123498,94.77,5989434
18,Rio Grande do Norte,3373960,584163,0,171384,8700,2780349,77.51,1892404,52.76,2966630,82.71,5678854
19,Rio Grande do Sul,11164050,2940791,0,260558,41716,9472602,82.31,6085003,52.88,9849826,85.59,18959629
20,Rio de Janeiro,16369178,2719059,0,165180,76636,13683291,77.94,8518921,48.52,14603299,83.18,27884034
21,Rondônia,1728214,478570,8,273698,7418,1162646,63.41,547907,29.88,1324561,72.24,2487207
22,Roraima,488072,181684,0,365608,2180,363279,54.2,140078,20.9,461632,68.87,812577
23,Santa Catarina,6634250,1972163,108,275258,22661,6051146,81.52,3206726,43.2,6358381,85.66,12151670
24,Sergipe,2195662,359398,5,161922,6497,1895581,80.39,1196735,50.76,2012950,85.37,3868406
25,São Paulo,43663672,6389460,0,145099,178178,41923014,89.2,28631980,60.92,43105900,91.72,83742803
26,Tocantins,1478163,363257,0,242676,4220,1051800,64.76,477794,29.42,1176243,72.42,2170295
