,local,total_casos,a_cada_milhao,total_mortes
0,São Paulo,6389460,145099,178178
1,Minas Gerais,4122029,197518,64799
2,Rio Grande do Sul,2940791,260558,41716
3,Paraná,2903031,261966,45919
4,Rio de Janeiro,2719059,165180,76636
5,Santa Catarina,1971482,275163,22615
6,Goiás,1862817,285567,27885
7,Bahia,1783192,117881,31349
8,Ceará,1446481,163577,28091
9,Espírito Santo,1317879,339218,15001
10,Pernambuco,1138859,122752,22620
11,Distrito Federal,893250,0,11838
12,Mato Grosso,872602,270628,15067
13,Pará,864379,107058,18996
14,Paraíba,703683,178424,10540
15,Amazonas,625260,161410,14421
16,Mato Grosso do Sul,601158,229480,10969
17,Rio Grande do Norte,584163,171384,8700
18,Maranhão,491004,71670,11043
19,Rondônia,478445,273627,7418
20,Piauí,418951,131139,8052
21,Tocantins,363257,242676,4220
22,Sergipe,359383,161915,6497
23,Alagoas,336780,101387,7230
24,Amapá,183666,244562,2167
25,Roraima,181684,365608,2180
26,Acre,160106,202640,2041
